Annee;Mois;Date;Gare;Nature;Type
2013;12;2013-12;Lyon Part Dieu;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;12;2013-12;Paris Austerlitz;Sac à main;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Gare du Nord;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;12;2013-12;Paris Gare du Nord;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;12;2013-12;Paris Gare du Nord;Sac à dos;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Montparnasse;Bonnet, chapeau;Vêtements, chaussures
2013;12;2013-12;Paris Montparnasse;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;12;2013-12;Strasbourg;Pièce d'identité personnelle et autre;Pièces d'identités et papiers personnels
2013;12;2013-12;Paris Montparnasse;Carte d'identité, passeport, permis de conduire;Pièces d'identités et papiers personnels
2013;12;2013-12;Lyon Perrache;Autre bagagerie (préciser);Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Montparnasse;Sac à dos;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Saint-Lazare;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;12;2013-12;Paris Est;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;12;2013-12;Paris Montparnasse;Carte d'identité, passeport, permis de conduire;Pièces d'identités et papiers personnels
2013;12;2013-12;Paris Gare du Nord;Autres divers (préciser);Divers
2013;12;2013-12;Paris Saint-Lazare;Pièce d'identité personnelle et autre;Pièces d'identités et papiers personnels
2013;12;2013-12;Paris Montparnasse;Lunettes en étui;Optique
2013;12;2013-12;Paris Montparnasse;Foulard, écharpe;Vêtements, chaussures
2013;12;2013-12;Paris Austerlitz;Foulard, écharpe;Vêtements, chaussures
2013;12;2013-12;Paris Austerlitz;Bonnet, chapeau;Vêtements, chaussures
2013;12;2013-12;Paris Gare du Nord;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;12;2013-12;Paris Montparnasse;Autre pièce ou papier personnel (préciser);Pièces d'identités et papiers personnels
2013;12;2013-12;Paris Saint-Lazare;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;12;2013-12;Paris Saint-Lazare;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;12;2013-12;Paris Saint-Lazare;Pièce d'identité personnelle et autre;Pièces d'identités et papiers personnels
2013;12;2013-12;Paris Saint-Lazare;Cartable, trousse d'écolier, dossier scolaire;Articles d'enfants, de puériculture
2013;12;2013-12;Lyon Part Dieu;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Est;Autres divers (préciser);Divers
2013;12;2013-12;Marseille Saint-Charles;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;12;2013-12;Paris Gare du Nord;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;12;2013-12;Paris Gare du Nord;Pièce d'identité personnelle et autre;Pièces d'identités et papiers personnels
2013;12;2013-12;Marseille Saint-Charles;Sacoche ventrale, banane;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Gare du Nord;Support de données (CD, DVD, etc.);Appareils électroniques, informatiques, appareils photo
2013;12;2013-12;Strasbourg;Autres instruments de musique (préciser);Instruments de musique
2013;12;2013-12;Paris Est;Autre livre;Livres, articles de papéterie
2013;12;2013-12;Marseille Saint-Charles;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;12;2013-12;Creil;Autres vêtements (préciser);Vêtements, chaussures
2013;12;2013-12;Lyon Part Dieu;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;12;2013-12;Besan?on Viotte;Autre pièce ou papier personnel (préciser);Pièces d'identités et papiers personnels
2013;12;2013-12;Dijon;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;12;2013-12;Paris Est;Disque dur externe, clé USB;Appareils électroniques, informatiques, appareils photo
2013;12;2013-12;Paris Est;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;12;2013-12;Strasbourg;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Est;Attaché-case, serviette;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Marseille Saint-Charles;Téléphone portable;Appareils électroniques, informatiques, appareils photo
2013;12;2013-12;Paris Est;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Gare du Nord;Lunettes;Optique
2013;12;2013-12;Paris Montparnasse;Autre pièce ou papier personnel (préciser);Pièces d'identités et papiers personnels
2013;12;2013-12;Paris Montparnasse;Clés, porte-clés;Clés, porte-clés, badge magnétique
2013;12;2013-12;Lyon Perrache;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Saint-?tienne Ch?teaucreux;Autres instruments de musique (préciser);Instruments de musique
2013;12;2013-12;Paris Gare du Nord;Foulard, écharpe;Vêtements, chaussures
2013;12;2013-12;Paris Gare du Nord;Sac à dos;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Saint-Lazare;Autre pièce ou papier personnel (préciser);Pièces d'identités et papiers personnels
2013;12;2013-12;Paris Gare du Nord;Sacoche ventrale, banane;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Lyon Perrache;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Austerlitz;Sac à main;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Strasbourg;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Austerlitz;Autre pièce ou papier personnel (préciser);Pièces d'identités et papiers personnels
2013;12;2013-12;Paris Austerlitz;Billets SNCF;Pièces d'identités et papiers personnels
2013;12;2013-12;Paris Austerlitz;Pièce d'identité personnelle et autre;Pièces d'identités et papiers personnels
2013;12;2013-12;Paris Gare du Nord;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres
2013;12;2013-12;Paris Gare du Nord;Sac à main;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Dijon;Sac à dos;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Gare du Nord;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Gare du Nord;Sacoche ventrale, banane;Bagagerie: sacs, valises, cartables
2013;12;2013-12;Paris Gare du Nord;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables
